target_path	sha256	size_bytes	live_stock_status	live_stock_source
recovery/root/system/bin/hlosminkdaemon	eaad2fc7a2e0c260ecb37938a324e8454af00fc036b890564fd043096bb0425e	68600	NO_EXACT_LIVE_MATCH	
recovery/root/system/bin/hw/android.hardware.boot-service.qti	1d1d1bf71b261347bd5bf163bb443b7a32ca1a46094cb0f251b9ad6a60cba901	52760	NO_EXACT_LIVE_MATCH	
recovery/root/system/bin/hw/android.hardware.gatekeeper-rust-service-qti	3e36ca7b6682a92ee3fd449c6aef4a06bc8be1e40f5ba328cc96d42ee4b015f3	358416	EXACT	/vendor/bin/hw/android.hardware.gatekeeper-rust-service-qti
recovery/root/system/bin/hw/android.hardware.gatekeeper-service-spu-qti	8776811398d8c2fc2ea9be5e83915153b2f67c20e456a2ad1d82513b387e9078	51264	EXACT	/vendor/bin/hw/android.hardware.gatekeeper-service-spu-qti
recovery/root/system/bin/hw/android.hardware.health-service.qti	97de0c658f33962303062d43430b0be2516ca6341c6ab0054f74378b44b0831f	254760	NO_EXACT_LIVE_MATCH	
recovery/root/system/bin/hw/android.hardware.security.keymint-service-spu-qti	5dd12ad82c8b6eaf207df2d13c231cc31e1d210b5056f0c113f701a3fd7f4ccb	85232	EXACT	/vendor/bin/hw/android.hardware.security.keymint-service-spu-qti
recovery/root/system/bin/hw/android.hardware.security.onekeymint-service-qti	536e0f88e4b002599785735f97a2d73ea67da3fbaf84f1ba930e2fee97c17b23	1407616	EXACT	/vendor/bin/hw/android.hardware.security.onekeymint-service-qti
recovery/root/system/bin/hw/android.hardware.security.secretkeeper-service-qti	daf758e83168c29c9a8f0ed8be7c8bc280798879bd52d9208d3aba5cc7722e66	427832	EXACT	/vendor/bin/hw/android.hardware.security.secretkeeper-service-qti
recovery/root/system/bin/hw/android.hardware.weaver-service-spu-qti	9f2f789823b95a5cd9a1cec861af5155be5f74cc4ce438d1d0428be8a66e1ee4	85112	NO_EXACT_LIVE_MATCH	
recovery/root/system/bin/hw/vendor.qti.hardware.spu-service	720559dbc003482df33ff4a883dc2343c1805396005997244efb6c307ef4ea38	86496	EXACT	/vendor/bin/hw/vendor.qti.hardware.spu-service
recovery/root/system/bin/hw/vendor.qti.hardware.vibrator.service	4378cddb9190cf2a1d7b616e7104c3bad7741ad0073952b02061456bcb70ac54	52656	NO_EXACT_LIVE_MATCH	
recovery/root/system/bin/qseecomd	dc1ccdd0a32891f0f38048383499e8849e071840ef5bb210eefa1b0e3b2c369f	69168	NO_EXACT_LIVE_MATCH	
recovery/root/system/bin/sec_nvm	c3eb5f159b1f32bee4b5cd923fe9c592d70f8171b51eae4c46d9df982eea08de	496272	EXACT	/vendor/bin/sec_nvm
recovery/root/system/bin/spdaemon	92a1396d667454660616091dcfe36658496982642a41797e8b70439419e9aa8e	51856	EXACT	/vendor/bin/spdaemon
recovery/root/system/lib64/android.hardware.common-V2-ndk.so	df669f6139af9370a003bcc7f11ef3ef9a96b5b2044b11f42d77611c871dd7e2	52040	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/android.hardware.common.fmq-V1-ndk.so	56bcb195fc2749c67e0eb7f2da7f47fa1a3aedfc54059f12867446a6ff010bd0	51688	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/android.hardware.security.sharedsecret-V2-ndk.so	75351ced747d9ad268acc4f92776cb7dcdacef1c6a0558f532ecee17698561f3	85704	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/android.hardware.vibrator-V2-ndk.so	a40bd080ff160849717c717ecbb7ba102d93a8087f31b574ce02383ba1797024	151864	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/hw/libqtigatekeeper.so	db1effbbf9f3b2c6c73cd490020eed78c0ac549c9674abab56f2940afa67a06d	101760	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/hw/libspuqtigatekeeper.so	2e19f1bfde174db0cb3dce7fd403c2443a31dd9790ca675e97329cde4e46fba1	101912	EXACT	/vendor/lib64/hw/libspuqtigatekeeper.so
recovery/root/system/lib64/libGPreqcancel.so	046bef8934572136ec2634cc520b19cb8554c76c05d129e9d25e8479e30e6478	51640	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libGPreqcancel_svc.so	e4f3f3bddb2b116af898e7e7b8c94800bbfce6814e28687bd1c5a9a5e21acedb	51752	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libQSEEComAPI.so	aef2c29fd13f12726db808b4d2180981beda1352a5846d4daca6307c3ebd9aa1	85168	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libaacvibrator.so	c3bd855357c5309d5b3005d3bee81e58eb007beefc007dc0bab24fa8879b4ea5	122664	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libboot_control_qti.so	25a02833adbf83ffe8229483073e113c4e2468b6e779e83275c5bd742f61746c	186280	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libconfigdb.so	24da0c8a0950f36beb4d23870bd522d5cf972f884f3337ff69d0301b7e359259	51952	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libdiag.so	bd1e6b2a519e696506542a5697161550824cb00642b007f48669f8a547b92638	371152	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libdmabufheap.so	fe52224136574f4bbcb973f73b21a9e1c3993b528f8d0987c037f3e4108ff343	102352	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libdrm.so	61fe30ab0c265f0b02e6443146dbb5b4e941add642473cd1cfc492aaec9a406b	117288	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libdrmfs.so	42bf8b21dbdbfd84400b329ce84579055547629c4f0829127a07d08bf2eb103f	101048	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libdrmtime.so	7a04a918b6e93fe6df7560ccc68c0befca1fc052ac9e717abb34e2fcdcc99f0c	35456	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libdsi_netctrl.so	e5742b565298936c62c4337af2a57cf968fc4ce8125e41c308468a26a4044438	730736	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libdsutils.so	534adb8136c54d0b1c4edc63bdebe98bf80cb21bcf7cdac04493d85582efc4d0	135136	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libexpat.so	a6010db412d5e6286cb646111648e220ecab69eb28fd1e18926ad6fa689d25da	184696	NO_EXACT_LIVE_MATCH	
recovery/root/system/lib64/libfmq.so	8d49d02faa3e31fc4d680c762d0b12919133a47bbb9f6afc8c2d638993cff082	51696	NO_EXACT_LIVE_MATCH	
