target_path	expected_sha256	size	acquisition	source_path	source_repo	source_ref	source_blob_oid	source_commit
recovery/root/system/lib64/libvmmem.so	834938f12eeb8828d396acfa980381bad52d85054ecb7bf1f7c29dc41e7cf6d1	68672	public-tb322fc-git	recovery/root/vendor/lib64/libvmmem.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	98e29b20e4e28963d055fcc6e6cbb330ec95f62c	0cf3a2152b7d2b8b0a6e0bc9a446e4fe458c9a2a
recovery/root/system/lib64/libxml.so	b114bb9c2801a47781882f3306c01138b21c2ceb1bebdabc59e577e8c49f0167	68816	public-tb322fc-git	recovery/root/vendor/lib64/libxml.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	734ec3631b9b577a4434fe6ccc39b62a0c70abfe	6bacfad65b5a04a4c855e2f085a10674f9240bbb
recovery/root/system/lib64/vendor.aac.hardware.richtap.vibrator-V1-ndk_platform.so	5ae8e0677cafe57a9f1642c86dc46a4f28727bdf09340920e35a71c638455443	102216	public-tb322fc-git	recovery/root/vendor/lib64/vendor.aac.hardware.richtap.vibrator-V1-ndk_platform.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	05264d49e0badb1d99630a9e9cc8d8bd580018a5	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/system/lib64/vendor.qti.hardware.display.config-V7-ndk.so	11d834503923a184d493938cad39052f443c5dcbc108f47d11372696ff45acc2	184336	public-tb322fc-git	recovery/root/vendor/lib64/vendor.qti.hardware.display.config-V7-ndk.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	124bf49a8c3b0d4488c8c528fc33ecc30b4c99e7	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/vendor.qti.hardware.pal-V1-ndk.so	87cb2ea4185118bf15c7efa9e243a4c922cb98f9387077c72e43fdd0a1c2017a	185152	public-tb322fc-git	recovery/root/vendor/lib64/vendor.qti.hardware.pal-V1-ndk.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	43ac6067aa3457d6c7952b4991a67fc0073a385d	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/system/lib64/vendor.qti.hardware.spu-V2-ndk.so	4ee7af7bda1cc00298634cfabe3460502bab357261a57e42d447e8a542bbf396	168728	tb323fu-stock	/vendor/lib64/vendor.qti.hardware.spu-V2-ndk.so		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/lib64/vendor.qti.hardware.vibrator.impl.so	dab46087fe701d6c414a07f3b74c406dec6bd15b99274ca49fed4be655d3baa4	51872	public-tb322fc-git	recovery/root/vendor/lib64/vendor.qti.hardware.vibrator.impl.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	a6c9fc246da5bc346f537cf550c7ef5d991a3961	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/system/lib64/vendor.qti.hardware.vibratorCL.impl.so	d1dc72f78d0f88b789f0769011e54c3bb35a84ac540ebf7a5e0b9e1eb4e43fc7	102024	public-tb322fc-git	recovery/root/vendor/lib64/vendor.qti.hardware.vibratorCL.impl.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	0d5a93db18153bd94601a96820ed0389fcaae6bc	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/system/lib64/vendor.qti.hardware.vibratorOL.impl.so	df6e56075412951ec775ecb3d5bb97d57b355b055bfc3d549f2f6cfc8dbaed2c	85288	public-tb322fc-git	recovery/root/vendor/lib64/vendor.qti.hardware.vibratorOL.impl.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	a9c60e5e2125d569fed503ef01d87e80f7366632	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/system/lib64/vendor.qti.hardware.vibratorSel.impl.so	b1ab807265f86d27a59f522bc6d280e22f4b1effafbc97e8cdc7b3f41d420ac5	52112	public-tb322fc-git	recovery/root/vendor/lib64/vendor.qti.hardware.vibratorSel.impl.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	34af564e00e8f93c87406a5c03eba79597a509d6	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/vendor/firmware/haptic_ram.bin	84598d2a5130f7fe6bccba5cfbcafa1341d2d5bfe2f7d1361142cb78783ce79d	1436	public-tb322fc-git	recovery/root/vendor/firmware/haptic_ram.bin	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	29a11a5a4d9cd82923ee56ae6215d6ccff1965cf	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8
recovery/root/vendor/firmware/haptic_rtp.bin	6b26749d456e8e358bd73d1033b90b465b91f406d2d2f02d29414ac78c7d1154	14117	tb323fu-stock	/vendor/firmware/haptic_rtp.bin		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/vendor/firmware/haptic_rtp_auto_sin.bin	7d06e49ff36673e7da6b7ea93daa56ca52728cb3f829379edfcc13abdde263c3	100	tb323fu-stock	/vendor/firmware/haptic_rtp_auto_sin.bin		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/vendor/firmware/haptic_rtp_dual_test.bin	226b77c0cdf39a7c4a8691bb1b1adc6d5807f4c84183949c6b7fdaf426909dab	18894	tb323fu-stock	/vendor/firmware/haptic_rtp_dual_test.bin		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/vendor/firmware/haptic_rtp_lighthouse.bin	75363c03e626fa05b1a7bdbe7e7b9c38b43456db1a64b6d3637f4b020200818c	1444518	tb323fu-stock	/vendor/firmware/haptic_rtp_lighthouse.bin		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/vendor/firmware/haptic_rtp_osc_24K_5s.bin	9a413b131ecf0ccfb02a837ddb33766d8604cc00da7937b79bd363b53c8d7d86	120000	tb323fu-stock	/vendor/firmware/haptic_rtp_osc_24K_5s.bin		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/vendor/firmware/haptic_rtp_silk.bin	75363c03e626fa05b1a7bdbe7e7b9c38b43456db1a64b6d3637f4b020200818c	1444518	tb323fu-stock	/vendor/firmware/haptic_rtp_silk.bin		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/vendor/firmware/novatek_ts_csot_3k_fw.bin	413216d0e8738078414fa681262439ab6d1c181f02974215e0394f102fcc08dc	253952	public-tb322fc-git	recovery/root/vendor/firmware/novatek_ts_csot_3k_fw.bin	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	5363a99eb681e12ff91e09d6782cdd694146fb37	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8
recovery/root/vendor/firmware/novatek_ts_csot_3k_mp.bin	0e0f0f14ace4edac04f2ad1ca0d627d4e9658dbe20ce4218303ebda4806bcc29	253952	public-tb322fc-git	recovery/root/vendor/firmware/novatek_ts_csot_3k_mp.bin	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	d3592256b8cf90298c4b0b94083a73a1bba0c0b8	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8
recovery/root/vendor/firmware/novatek_ts_csot_fw.bin	d668c0cdc69dccb007db8eab4a70ff003fb0e400284760731edd5b737203f5d5	196608	public-tb322fc-git	recovery/root/vendor/firmware/novatek_ts_csot_fw.bin	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	12488d3a0ad70310fa95749045b335c46ff3e61f	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8
recovery/root/vendor/firmware/novatek_ts_csot_mp.bin	b06a359efc8c085ec13aeed810cd5c1d41413e2931569d206c8a97199da2b479	196608	public-tb322fc-git	recovery/root/vendor/firmware/novatek_ts_csot_mp.bin	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	28e2536bf485bca23d810d12d48a4a23c65ff98e	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8
recovery/root/vendor/firmware/novatek_ts_fw.bin	a374ce0856f9e61bd62de955e93d2585963a0636ff7390de2248386e896c114f	253952	tb323fu-stock	/vendor/firmware/novatek_ts_fw.bin		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/vendor/firmware/novatek_ts_mp.bin	1b83ad26961e9e445b7f7bba172c0211928d64f82eea698e1685e8273b09ec30	253952	tb323fu-stock	/vendor/firmware/novatek_ts_mp.bin		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
