target_path	expected_sha256	size	acquisition	source_path	source_repo	source_ref	source_blob_oid	source_commit
recovery/root/system/lib64/libdrmtime.so	7a04a918b6e93fe6df7560ccc68c0befca1fc052ac9e717abb34e2fcdcc99f0c	35456	public-tb322fc-git	recovery/root/vendor/lib64/libdrmtime.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	bcf9d3e68d9a54b034512bd1a0dc3420aad0980a	a1d0bdd878fd173080b77c42e95b266d793f4829
recovery/root/system/lib64/libdsi_netctrl.so	e5742b565298936c62c4337af2a57cf968fc4ce8125e41c308468a26a4044438	730736	public-tb322fc-git	recovery/root/vendor/lib64/libdsi_netctrl.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	7dc8a02a5267448ceda9e08d7c8147047e6f2921	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libdsutils.so	534adb8136c54d0b1c4edc63bdebe98bf80cb21bcf7cdac04493d85582efc4d0	135136	public-tb322fc-git	recovery/root/vendor/lib64/libdsutils.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	e05d72b7fe81b43d8347f7d66a07e86ec0167e5c	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libexpat.so	a6010db412d5e6286cb646111648e220ecab69eb28fd1e18926ad6fa689d25da	184696	public-tb322fc-git	recovery/root/vendor/lib64/libexpat.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	033be5d929a64ac0835bfed2ee3d1803bb5c2157	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/system/lib64/libfmq.so	8d49d02faa3e31fc4d680c762d0b12919133a47bbb9f6afc8c2d638993cff082	51696	public-tb322fc-git	recovery/root/vendor/lib64/libfmq.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	819d7fe328ac4c6e0e6055ff2a3efe90de14fc89	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/system/lib64/libgpt.so	023f3fe9c1c01a35a6f24d142da38d33bc2eb267696355dca342deabfcf8993a	68200	public-tb322fc-git	recovery/root/vendor/lib64/libgpt.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	22fe702a21c8a7a4bd8b75535c053395895c43be	a1d0bdd878fd173080b77c42e95b266d793f4829
recovery/root/system/lib64/libidl.so	d7b27ec5ec6c19738aae0a799d3818496ef9e70743dea1c8fb22897e96802dfc	51912	public-tb322fc-git	recovery/root/vendor/lib64/libidl.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	ee452d0c3990e14b9f5059bf8d71bdbdc22de800	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libion.so	a180b893980ffcd5b5bcff931d67bcfa348077f6caf0a67c62d699302feeb8e6	51232	public-tb322fc-git	recovery/root/vendor/lib64/libion.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	29f3b0956afe59d6d88a61e25fcb3cb5eb122a3b	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libkeymasterdeviceutils.so	1a5d66a91db5e28e50fad323342df78737251bf55e47608abe718b02f072cc49	51728	public-tb322fc-git	recovery/root/vendor/lib64/libkeymasterdeviceutils.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	8f3ca75b4f18e5386d7022ce71e723b0561272b6	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libkeymasterutils.so	f99e02f911df2588838faf86e826a4479131465b6a1315be771ee0478210e56d	269048	public-tb322fc-git	recovery/root/vendor/lib64/libkeymasterutils.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	0af7f9258d521a80fb322188beab54baf72c7fca	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libmdmdetect.so	10ff024a8bdb7ceacf0f56d8a63ba4a20625cbd98f3a338491294892a00ee7d3	51968	public-tb322fc-git	recovery/root/vendor/lib64/libmdmdetect.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	53df2131c9409ed4f5f566bc12d3da3a8140b649	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libminkdescriptor.so	abfd2b9042485cbc3d3d292eae47d9b056e7b957ac24c3c1ad0df269bcfde5e3	85512	public-tb322fc-git	recovery/root/vendor/lib64/libminkdescriptor.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	f9e86dd3d50f7d5490413f3378b26335f395e07e	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libminksocket_vendor.so	d1a3a39331197f608b5737844bea1c5dfff41aa89ade57b6f548a58034eed28f	185472	public-tb322fc-git	recovery/root/vendor/lib64/libminksocket_vendor.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	593af78058d892542eeb6580aec6768b44d90a4b	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libnetutils.so	eea3d64744143d626aee2d00541f14e064faab9c8cdb8bfe50087b2699d848d4	68584	public-tb322fc-git	recovery/root/vendor/lib64/libnetutils.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	9c9cac8fcd9617e8d82ffcd83145f05a4e471a54	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libnicm.so	6e15ba96cbeb6454b311c9e012fcc4ec4d7df95e9cce9e95458f8a8f22f98a48	52296	public-tb322fc-git	recovery/root/vendor/lib64/libnicm.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	5b6692d4fd1f758f57b6d1a743c748b27288b4d8	6bacfad65b5a04a4c855e2f085a10674f9240bbb
recovery/root/system/lib64/libnicm_dsi.so	e3030c6b68080fc753d2f6df5956707200becc7a059c7e56f7e54844916a2d70	68296	public-tb322fc-git	recovery/root/vendor/lib64/libnicm_dsi.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	8b9e3b1dc687df406d71c24cf831c59206f2292d	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libnicm_utils.so	346947d8fc141b565f728c29cc97840fe9137b73754bbe807fedbc2a7ea394cb	222928	public-tb322fc-git	recovery/root/vendor/lib64/libnicm_utils.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	b9fd6a40ef28fbad8c2e396f6a1fd27e921a90df	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libops.so	52b7956a1513df79f8832c73cb1d0bcecd80039256be9306da57a1bced30bc50	51920	public-tb322fc-git	recovery/root/vendor/lib64/libops.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	bae7ff5149fcfaf182b999a67ab05cf0b6500457	a1d0bdd878fd173080b77c42e95b266d793f4829
recovery/root/system/lib64/libpalclient.so	508cacd4ef30c1562825f91c72b774d1a783602202b0fe6837d090569cd5f890	185432	public-tb322fc-git	recovery/root/vendor/lib64/libpalclient.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	1e5d09ce92a699405b0346aea65b5ff53dc8a7b3	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/system/lib64/libprotobuf-cpp-lite-21.12.so	aafaa0d280b96b536ee08048cebbd6ed50a77adef374de796c4fff2635ffd093	595312	public-tb322fc-git	recovery/root/vendor/lib64/libprotobuf-cpp-lite-21.12.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	eaca6d3fc58de47268849ee63dec343d70789a9b	ac809e192fc70c094b0f4d1c65f21c7d65d6f814
recovery/root/system/lib64/libqcbor.so	c8465439937f4fc019ab2312c4fccf291c6a5cf47b908c5431ee8a685ce219c4	52024	public-tb322fc-git	recovery/root/vendor/lib64/libqcbor.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	34cf42f095683ecde5cd5e6aea83cbb73d727d89	a1d0bdd878fd173080b77c42e95b266d793f4829
recovery/root/system/lib64/libqdi.so	6e1d7da5c9e8400637dd2a859342a4fe2b0c3a98b46aa4dcda404e182bf24b7d	199648	public-tb322fc-git	recovery/root/vendor/lib64/libqdi.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	d573a3b8744b26fe16adf27feedb095f4fc227bf	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libqisl.so	819b0c27c88dd0704635533ba7fcd83e3b673eee12f19b9ccf5f9b6bf2f262f5	52000	public-tb322fc-git	recovery/root/vendor/lib64/libqisl.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	1eb025ea4b7db465c5c6f3098dbe1514824464ef	a1d0bdd878fd173080b77c42e95b266d793f4829
recovery/root/system/lib64/libqmi.so	890b4a7d64fdd9fff13add3a5a79c609d9672c7a956e06a53ad2fdd6385ed407	333504	public-tb322fc-git	recovery/root/vendor/lib64/libqmi.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	c01dd0e37458db92052f9a51102a31a20d03b67a	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libqmi_cci.so	c0cc1bdb295e012b9391b6880f5bd4f06b880444ad8b7bbef2b94276d13f983f	102160	public-tb322fc-git	recovery/root/vendor/lib64/libqmi_cci.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	50b771b201679e666d794d7842d74b89c4abd464	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libqmi_client_helper.so	ec7e8d0be175329d2f5731daa2938450039b7a43abba13d91c0634b963924960	38152	public-tb322fc-git	recovery/root/vendor/lib64/libqmi_client_helper.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	b21fb736b358fad4ac97d966218258a2ef74f479	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libqmi_client_qmux.so	193288f0e7e82a145dbc57952f8f8acd0fc5404c62f14fe7e2525ebfd21b95ed	68784	public-tb322fc-git	recovery/root/vendor/lib64/libqmi_client_qmux.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	04e4feca3396a97a73c8c6ba02a9e933f233ee9f	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libqmi_common_so.so	bebe076005437dff6b8decbb13564159994bec900e48b3601d6cc5f89a0d99e8	51328	public-tb322fc-git	recovery/root/vendor/lib64/libqmi_common_so.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	0841d488ac4def1b448c9f1d777edcef6231cbea	6bacfad65b5a04a4c855e2f085a10674f9240bbb
recovery/root/system/lib64/libqmi_csi.so	83618207235908e991513ff46ce5b2f63b967aeb280d5816e2e4d33ce5db7e4c	69208	public-tb322fc-git	recovery/root/vendor/lib64/libqmi_csi.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	86d52a87d2fa898756df671c7e0084fa72bedc1e	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libqmi_encdec.so	d55f8998ad95e245fa373cd9b31172d1917fb3ae4aa4254b91557055fb501eae	51928	public-tb322fc-git	recovery/root/vendor/lib64/libqmi_encdec.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	f98a50b4d6046f406e7236f80e38bce4e590afa3	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libqmiservices.so	f0b05cc11410f8ca330ab2f52c4c833c4a0eef16dfafa6e504c0e7cdc7a9e556	202472	public-tb322fc-git	recovery/root/vendor/lib64/libqmiservices.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	8bcd45929df642f06bc6a32a16b12f86c6a6b549	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libqrtr.so	ffde130127e6e237dbefa59400c9f6a715a42d1593398cca49e4512d80cdd731	52112	public-tb322fc-git	recovery/root/vendor/lib64/libqrtr.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	b1f765168b078adf27be124ed8cdd5aebd319887	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/libqti-utils.so	e38389f729e6a169f62e30716360a56659269026481bf384072f6139e12e216a	35320	tb323fu-stock	/vendor/lib64/libqti-utils.so		TB323FU_ROW_OPEN_USER_Q00020.0_A16_ZUI_18.0.12.104_ST_260711		
recovery/root/system/lib64/libqtivibratoreffect.so	6acd2b0f40c26ffa3da354dd0e1e43ec7cf8ec915f957151098f02a00c26c11a	35432	public-tb322fc-git	recovery/root/vendor/lib64/libqtivibratoreffect.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	d198816e25565fa639037aef6ba2cb12e421b400	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/system/lib64/libqtivibratoreffectoffload.so	6f30ddce3b7a1b9bbfc5f4ed78e7805ac17db988704f3b66ee8e7242cfda04bd	35368	public-tb322fc-git	recovery/root/vendor/lib64/libqtivibratoreffectoffload.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	13b33c4ea93dcf4aa64c49d682054fde2a8e7877	bb4a7017edad3a652282bba7792e24a17170098d
recovery/root/system/lib64/librecovery_updater.so	75a26995cefbfb400a7d3ca236e31a33f6bd085ac80687ae54b449ea03fdd4a5	135248	public-tb322fc-git	recovery/root/vendor/lib64/librecovery_updater.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	be205ac270accc3fdabe6da44b44999cc132d573	5798af1c75dee871129c0980ae41e9b7f0df9d34
recovery/root/system/lib64/librpmb.so	9bfb32089e4c3e71eb3aa2fa6ceebc659376551e5247638779a9bd3fb91f7458	86080	public-tb322fc-git	recovery/root/vendor/lib64/librpmb.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	5112851f7d11433d048573f32b92246f80872290	a1d0bdd878fd173080b77c42e95b266d793f4829
recovery/root/system/lib64/libseclog.so	3a9a6626949bbd203ae780a91c404d497973807880c2b756e082e96b2988c1e5	51464	public-tb322fc-git	recovery/root/vendor/lib64/libseclog.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	6ea00461591fa74f643d2420a7c0f4bba4286ee7	a1d0bdd878fd173080b77c42e95b266d793f4829
recovery/root/system/lib64/libsoc_helper.so	209686e4ab2ce72b0c1e0722888552d9d2457d36096b792a067f93a20a6e0642	35368	public-tb322fc-git	recovery/root/vendor/lib64/libsoc_helper.so	https://github.com/polygraphene/android_device_lenovo_TB322FC.git	c9c6a9f1287e5b416c3480c5fe06b23dc54c9ab8	5936f1f4afce8fb64005ed2142f948bf9865adf1	5798af1c75dee871129c0980ae41e9b7f0df9d34
